Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
100;Ackendorf (Gardelegen), B71;171;de:15081:171;Gardelegen;15081135;11,369369;52,542263
100;Altmark-Kaserne (Letzlingen);22829;de:15081:22829;Gardelegen;15081135;11,529234;52,441345
100;Berge (Altmarkkreis Salzwedel), B71;634;de:15081:634;Gardelegen;15081135;11,361997;52,552474
100;Born, B71;229;de:15083:229;Westheide;15083557;11,465112;52,378237
100;Brüchau, B71;635;de:15081:635;Kalbe (Milde);15081240;11,266082;52,686678
100;Cheinitz, B71;172;de:15081:172;Kalbe (Milde);15081240;11,254689;52,702915
100;Estedt, B71;469;de:15081:469;Gardelegen;15081135;11,357351;52,576575
100;Gardelegen, Bahnhof (Bus);343;de:15081:343;Gardelegen;15081135;11,404565;52,518679
100;Gardelegen, Hansecenter;23129;de:15081:23129;Gardelegen;15081135;11,400948;52,516201
100;Gardelegen, Sandstr.;579;de:15081:579;Gardelegen;15081135;11,390183;52,526232
100;Gardelegen, Volkshaus;553;de:15081:553;Gardelegen;15081135;11,383659;52,526336
100;Groß Engersen, B71;429;de:15081:429;Kalbe (Milde);15081240;11,319741;52,615351
100;Groß Engersen, Ort;552;de:15081:552;Kalbe (Milde);15081240;11,341891;52,620338
100;Haldensleben, Gerikestr.;1542;de:15083:1542;Haldensleben;15083270;11,424678;52,279612
100;Haldensleben, ZOB;1555;de:15083:1555;Haldensleben;15083270;11,407558;52,284969
100;Kakerbeck, Mitte;381;de:15081:381;Kalbe (Milde);15081240;11,279685;52,666122
100;Kakerbeck, Neue Mühle;23203;de:15081:23203;Kalbe (Milde);15081240;11,270577;52,659599
100;Kakerbeck, Nord;198;de:15081:198;Kalbe (Milde);15081240;11,276628;52,671906
100;Kakerbeck, Süd;7557;de:15081:7557;Kalbe (Milde);15081240;11,283377;52,660113
100;Kalbe (Milde), Bahnhofstr.;23196;de:15081:23196;Kalbe (Milde);15081240;11,389282;52,656573
100;Kalbe (Milde), Gardelegener Tor;182;de:15081:182;Kalbe (Milde);15081240;11,387796;52,648131
100;Kalbe (Milde), Petersberg;594;de:15081:594;Kalbe (Milde);15081240;11,377799;52,656719
100;Kalbe (Milde), Schule;537;de:15081:537;Kalbe (Milde);15081240;11,388149;52,653514
100;Kalbe (Milde), ZOB;578;de:15081:578;Kalbe (Milde);15081240;11,390789;52,659645
100;Klötze, Str. der Jugend;523;de:15081:523;Klötze;15081280;11,175740;52,627401
100;Klötze, ZOB;481;de:15081:481;Klötze;15081280;11,159395;52,628228
100;Laatzke (Berge), B71;669;de:15081:669;Gardelegen;15081135;11,361322;52,563191
100;Letzlingen, Ort;335;de:15081:335;Gardelegen;15081135;11,485594;52,445404
100;Magdeburg, IKEA;7498;de:15003:7498;Magdeburg;15003000;11,614728;52,166242
100;Magdeburg, ZOB;2985;de:15003:2985;Magdeburg;15003000;11,624352;52,131311
100;Mahlsdorf, B71;623;de:15081:623;Salzwedel;15081455;11,232593;52,793527
100;Quadendambeck (Winterfeld), B71;214;de:15081:214;Apenburg-Winterfeld;15081026;11,236852;52,767150
100;Sallenthin (Kalbe), Gehöft;15764;de:15081:15764;Kalbe (Milde);15081240;11,239530;52,756272
100;Sallenthin/Baars, B71;581;de:15081:581;Kalbe (Milde);15081240;11,240022;52,754006
100;Salzwedel, Bahnhofstr.;22891;de:15081:22891;Salzwedel;15081455;11,156294;52,858348
100;Salzwedel, Dreiländereck;617;de:15081:617;Salzwedel;15081455;11,142372;52,854180
100;Salzwedel, Ecke Brewitzstr.;199;de:15081:199;Salzwedel;15081455;11,139530;52,857688
100;Salzwedel, Fuchsberg, B71;461;de:15081:461;Salzwedel;15081455;11,188137;52,831210
100;Salzwedel, Grundschule Lessing;22828;de:15081:22828;Salzwedel;15081455;11,161224;52,855083
100;Salzwedel, Kämmereiteiche;203;de:15081:203;Salzwedel;15081455;11,167072;52,843900
100;Salzwedel, Kaufland;332;de:15081:332;Salzwedel;15081455;11,150339;52,857623
100;Salzwedel, Klosterkamp;186;de:15081:186;Salzwedel;15081455;11,180706;52,835725
100;Salzwedel, Lüneburger Str.;360;de:15081:360;Salzwedel;15081455;11,133657;52,856884
100;Salzwedel, Reitstadion;374;de:15081:374;Salzwedel;15081455;11,130921;52,852499
100;Salzwedel, Schwimmhalle;464;de:15081:464;Salzwedel;15081455;11,152003;52,857801
100;Salzwedel, Sportplatz;230;de:15081:230;Salzwedel;15081455;11,132793;52,852243
100;Salzwedel, Thälmannstr.;419;de:15081:419;Salzwedel;15081455;11,162131;52,851847
100;Salzwedel, Uelzener Str.;306;de:15081:306;Salzwedel;15081455;11,134277;52,858067
100;Salzwedel, ZOB;412;de:15081:412;Salzwedel;15081455;11,161038;52,857860
100;Schwiesau, Gaststätte;437;de:15081:437;Klötze;15081280;11,256093;52,598900
100;Stappenbeck, B71;270;de:15081:270;Salzwedel;15081455;11,217571;52,813424
100;Wedringen, Ort;5991;de:15083:5991;Haldensleben;15083270;11,466015;52,272642
100;Wernstedt, Ort;599;de:15081:599;Kalbe (Milde);15081240;11,340514;52,647574
100;Wiepke, B71;404;de:15081:404;Gardelegen;15081135;11,331023;52,598789
100;Winterfeld, B71;524;de:15081:524;Apenburg-Winterfeld;15081026;11,242742;52,741521
100;Zichtau, Ort;410;de:15081:410;Gardelegen;15081135;11,297201;52,605826
100;Zienau, Bad;311;de:15081:311;Gardelegen;15081135;11,423512;52,514997
131;Dölzig (Schkeuditz), B181/Südstr.;12926;de:14730:12926;Schkeuditz;14730270;12,208681;51,349016
131;Dölzig (Schkeuditz), Feldstr.;11897;de:14730:11897;Schkeuditz;14730270;12,213022;51,354004
131;Dölzig (Schkeuditz), Frankenheimer Str.;11896;de:14730:11896;Schkeuditz;14730270;12,220844;51,351901
131;Dölzig (Schkeuditz), Frankenheimer Str./B181;19955;de:14730:19955;Schkeuditz;14730270;12,221178;51,350309
131;Dölzig (Schkeuditz), Gewerbegebiet;11894;de:14730:11894;Schkeuditz;14730270;12,206012;51,352533
131;Dölzig (Schkeuditz), Holländische Mühle;10994;de:14730:10994;Schkeuditz;14730270;12,206055;51,348827
131;Dölzig (Schkeuditz), Kirche;12847;de:14730:12847;Schkeuditz;14730270;12,207871;51,353444
131;Frankenheim (b. Leipzig), Friedenseiche;11773;de:14729:11773;Markranstädt;14729270;12,236448;51,337983
131;Frankenheim (b. Leipzig), Gewerbegebiet;11774;de:14729:11774;Markranstädt;14729270;12,229631;51,340060
131;Frankenheim (b. Leipzig), Hopfenweg;11766;de:14729:11766;Markranstädt;14729270;12,243072;51,338896
131;Friedensdorf, Abzweig;9698;de:15088:9698;Leuna;15088205;12,060320;51,359374
131;Göhren (Zweimen), Abzweig;9727;de:15088:9727;Leuna;15088205;12,136770;51,352099
131;Günthersdorf (Leuna), IKEA;9744;de:15088:9744;Leuna;15088205;12,180368;51,348207
