Haltestelle Name;Haltestelle Nummer;Globale ID;X-Koordinate;Y-Koordinate;AGS Gemeinde;Gemeinde;AGS Landkreis;Landkreis;AGS Bundesland;Bundesland;Referenzhaltestelle Lief.
Abbendorf (Diesdorf), Abzweig;536;de:15081:536;10,916355;52,748249;15081105;Diesdorf;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbendorf (Diesdorf), Kirche;15765;de:15081:15765;10,904784;52,750159;15081105;Diesdorf;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbendorf (Diesdorf), Kita;1269;de:15081:1269;10,907973;52,750597;15081105;Diesdorf;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbendorf (Diesdorf), Ort;563;de:15081:563;10,902429;52,749938;15081105;Diesdorf;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbenrode, Gönnenicht;1276;de:15085:1276;10,633409;51,922700;15085227;Nordharz;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbenrode, Mitteldorf;1368;de:15085:1368;10,629762;51,926768;15085227;Nordharz;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbenrode, Wendeplatz;1369;de:15085:1369;10,626388;51,929556;15085227;Nordharz;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Ablaß;17191;de:14730:17191;12,948390;51,227992;14730200;Mügeln;14730;Nordsachsen;14;Sachsen;NASA Master-Lieferant
Äbtischrode (virt.);9320001;de:15087:9320001;11,568910;51,475180;15087386;Seegebiet Mansfelder Land;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Abtlöbnitz;4326;de:15084:4326;11,718350;51,079887;15084341;Molauer Land;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Abtsdorf (Lu. Wittenberg);9442;de:15091:9442;12,725297;51,888028;15091375;Wittenberg;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Altpoderschau;15885;de:16077:15885;12,296586;51,019333;16077032;Meuselwitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Beerwalde;12071;de:16077:12071;12,241609;50,876382;16077026;Löbichau;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Bielstein (b. Wernigerode);17445;de:15085:17445;10,688325;51,812516;15085370;Wernigerode;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Dobitschen/Meucha;12061;de:16077:12061;12,284239;50,950353;16077003;Dobitschen;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Gimmel (Altkirchen);12064;de:16077:12064;12,328847;50,925601;16077002;Altkirchen;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Gröba (Wintersdorf);12296;de:16077:12296;12,370500;51,047328;16077032;Meuselwitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Kleinliebenau (Dölzig);11892;de:14730:11892;12,217186;51,370173;14730270;Schkeuditz;14730;Nordsachsen;14;Sachsen;NASA Master-Lieferant
Abzweig Kleinröda (Starkenberg);10839;de:16077:10839;12,302517;51,006909;16077044;Starkenberg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Löbichau;11711;de:16077:11711;12,261657;50,881595;16077026;Löbichau;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Lonzig;17133;de:15084:17133;12,089320;50,983363;15084207;Gutenborn;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Merlach (Ponitz);12570;de:16077:12570;12,430736;50,868640;16077039;Ponitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Merlach (Ponitz) (Ersatzhalt);30681;de:16077:30681;12,430928;50,868931;16077039;Ponitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig n. Canitz (Thallwitz);16839;de:14729:16839;12,690306;51,410252;14729380;Thallwitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig n. Erlbach/Bockwitz (Colditz);15953;de:14729:15953;12,885156;51,120270;14729080;Colditz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig n. Kaltenborn (Colditz);15960;de:14729:15960;12,851327;51,120887;14729080;Colditz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig n. Wasewitz (Thallwitz);12619;de:14729:12619;12,686106;51,419710;14729380;Thallwitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig n. Zschetzsch (Colditz);16849;de:14729:16849;12,776778;51,142909;14729080;Colditz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig Nöbdenitz;12443;de:16077:12443;12,274412;50,884097;16077026;Löbichau;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Pähnitz (Windischleuba);12180;de:16077:12180;12,484109;51,023777;16077052;Windischleuba;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Pettstädt;22374;de:15084:22374;11,884217;51,239430;15084550;Weißenfels;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Platschütz (Altkirchen);11942;de:16077:11942;12,348331;50,922130;16077002;Altkirchen;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Rodameuschel;11848;de:16077:11848;12,310183;50,955860;16077009;Göllnitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Rolika (Dobitschen);12062;de:16077:12062;12,293095;50,952190;16077003;Dobitschen;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Ruhlsdorf (Jessen);17407;de:15091:17407;12,932257;51,805097;15091145;Jessen (Elster);15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
