Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
140;Aschersleben, Breite Str.;2765;de:15089:2765;Aschersleben;15089015;11,457868;51,753839
140;Aschersleben, Busbahnhof;2767;de:15089:2767;Aschersleben;15089015;11,463438;51,757971
140;Aschersleben, Johannispromenade;2728;de:15089:2728;Aschersleben;15089015;11,459953;51,757023
140;Aschersleben, Johannistorturm;22390;de:15089:22390;Aschersleben;15089015;11,458099;51,757304
140;Aschersleben, Magdeburger Str.;2736;de:15089:2736;Aschersleben;15089015;11,450955;51,759117
140;Aschersleben, Tie;22392;de:15089:22392;Aschersleben;15089015;11,455291;51,756014
140;Aschersleben, Vor dem Hohen Tor;2740;de:15089:2740;Aschersleben;15089015;11,452794;51,757505
140;Aschersleben, Zollberg;2726;de:15089:2726;Aschersleben;15089015;11,443391;51,757746
140;Hoym, Markt;2449;de:15089:2449;Seeland;15089307;11,312546;51,783875
140;Hoym, Reinstedter Str.;1627;de:15089:1627;Seeland;15089307;11,319898;51,785627
140;Morgenrot (Quedlinburg);5566;de:15085:5566;Quedlinburg;15085235;11,203286;51,788483
140;Quedlinburg, Bahnhof (Bus);5627;de:15085:5627;Quedlinburg;15085235;11,150935;51,784932
140;Quedlinburg, Magdeburger Str.;4741;de:15085:4741;Quedlinburg;15085235;11,170667;51,791086
140;Quedlinburg, Voßbrücke;5587;de:15085:5587;Quedlinburg;15085235;11,155380;51,787565
140;Reinstedt;2311;de:15085:2311;Falkenstein/Harz;15085110;11,357250;51,761727
165;Gärnitz (Markranstädt), Gasthof;10917;de:14729:10917;Markranstädt;14729270;12,231111;51,280090
165;Gärnitz (Markranstädt), Schule;22385;de:14729:22385;Markranstädt;14729270;12,229907;51,278460
165;Kulkwitz (Markranstädt), Göhrenzer Str.;10919;de:14729:10919;Markranstädt;14729270;12,240193;51,288327
165;Kulkwitz (Markranstädt), Kirche;10920;de:14729:10920;Markranstädt;14729270;12,233495;51,283828
165;Kulkwitz (Markranstädt), Kraftwerk;10922;de:14729:10922;Markranstädt;14729270;12,236655;51,291842
165;Lützen, Am alten Bahnhof;11921;de:15084:11921;Lützen;15084315;12,137994;51,250670
165;Lützen, Gustav-Adolf-Str.;11922;de:15084:11922;Lützen;15084315;12,144496;51,260701
165;Lützen, Karl-Marx-Str.;31137;de:15084:31137;Lützen;15084315;12,145619;51,258800
165;Lützen, Markt;3335;de:15084:3335;Lützen;15084315;12,141401;51,258392
165;Lützen, Sternbräu;11920;de:15084:11920;Lützen;15084315;12,138813;51,252599
165;Markranstädt, Bahnhof (Bus);22519;de:14729:22519;Markranstädt;14729270;12,223724;51,306217
165;Markranstädt, Härtelstr.;11830;de:14729:11830;Markranstädt;14729270;12,220335;51,304539
165;Markranstädt, Lausener Str.;10924;de:14729:10924;Markranstädt;14729270;12,224216;51,298102
165;Markranstädt, Markt;9889;de:14729:9889;Markranstädt;14729270;12,221108;51,301640
165;Markranstädt, Robert-Koch-Str.;11814;de:14729:11814;Markranstädt;14729270;12,224149;51,304712
165;Markranstädt, Schkeuditzer Str. (Markt);11815;de:14729:11815;Markranstädt;14729270;12,219700;51,302020
165;Meuchen (Lützen), Ort;729;de:15084:729;Lützen;15084315;12,174917;51,247354
165;Meuchen (Lützen), Ortseingang;3565;de:15084:3565;Lützen;15084315;12,172423;51,251503
165;Meyhen (Markranstädt);31111;de:14729:31111;Markranstädt;14729270;12,198573;51,248649
165;Räpitz (Markranstädt), Am Bahnhof;10717;de:14729:10717;Markranstädt;14729270;12,213518;51,261594
165;Räpitz (Markranstädt), Wiesenweg;10926;de:14729:10926;Markranstädt;14729270;12,216653;51,258468
165;Schkeitbar (Markranstädt);10716;de:14729:10716;Markranstädt;14729270;12,221681;51,253528
165;Schkölen (Markranstädt);10714;de:14729:10714;Markranstädt;14729270;12,207391;51,264360
165;Seebenisch (Markranstädt), Am alten Bahnhof;10925;de:14729:10925;Markranstädt;14729270;12,232962;51,271955
165;Seebenisch (Markranstädt), Ernst-Thälmann-Str.;31112;de:14729:31112;Markranstädt;14729270;12,232190;51,272623
165;Seebenisch (Markranstädt), Schkeitbarer Allee;31113;de:14729:31113;Markranstädt;14729270;12,226120;51,266462
165;Seebenisch (Markranstädt), Seitenstr.;10918;de:14729:10918;Markranstädt;14729270;12,231032;51,275498
165;Thronitz (Markranstädt), Döhlener Str.;31069;de:14729:31069;Markranstädt;14729270;12,206314;51,273746
165;Thronitz (Markranstädt), Kirche;10715;de:14729:10715;Markranstädt;14729270;12,207240;51,274750
200;Arendsee (Altmark), Bahnhofstr.;3921;de:15081:3921;Arendsee (Altmark);15081030;11,489720;52,880514
200;Arendsee (Altmark), Busbahnhof;212;de:15081:212;Arendsee (Altmark);15081030;11,493597;52,878319
200;Arendsee (Altmark), Friedensstr.;3931;de:15081:3931;Arendsee (Altmark);15081030;11,485137;52,881469
200;Arendsee (Altmark), Klosterkirche;468;de:15081:468;Arendsee (Altmark);15081030;11,476914;52,880718
200;Arendsee (Altmark), Salzwedeler Str.;20306;de:15081:20306;Arendsee (Altmark);15081030;11,467849;52,876910
200;Arendsee (Altmark), Schulen;272;de:15081:272;Arendsee (Altmark);15081030;11,487229;52,878322
200;Arendsee (Altmark), Seehäuser Str.;294;de:15081:294;Arendsee (Altmark);15081030;11,498136;52,883298
200;Binde, Gaststätte;673;de:15081:673;Arendsee (Altmark);15081030;11,383337;52,855845
