Standort;Lage;Lat;Lon;;;;;
Angern-Rogätz;vor dem Empfangsgebäude;52.339266;11.75339;;;;;
Annaburg;Bahnsteig;51.7286513;13.03274497;;;;;
Arensdorf (b. Köthen);Bahnsteig Richtung Magdeburg;51.70942735;12.00763822;;;;;
Aschersleben Hbf;Hausbahnsteig Bstg. 1;51.758059;11.462988;;;;;
Bad Dürrenberg;Zugang Unterführung;51.3047725;12.0696758;;;;;
Bad Kösen;Gleis 1;51.1324789;11.7184762;;;;;
Bad Kösen;Gleis 2;51.1324789;11.7184762;;;;;
Berga-Kelbra;Zugang Gleis 1;51.4521842;11.0143209;;;;;
Bergwitz;Bahnsteig Bahnhofsvorplatz;51.80364264;12.57631749;;;;;
Bernburg;vor der Empfangshalle;51.79620834;11.75150603;;;;;
Biederitz;Bahnhofsvorplatz;52.15271;11.716466;;;;;
Bitterfeld;Empfangsgebäude;51.6227127;12.3172161;;;;;
Brehna;Bahnsteig;51.55449759;12.2221747;;;;;
Brunau-Packebusch;Bahnsteig;52.751274;11.484586;;;;;
Burg (Magdeburg);Bahnsteigzugang;52.2743582;11.8404654;;;;;
Burgkemnitz;Bahnsteig;51.6887769;12.40720287;;;;;
Calbe (Saale) Ost;Zugang zu den Bahnsteigen 2 und 3;51.920693;11.810527;;;;;
Coswig (Anhalt);Bahnsteig;51.88788036;12.45803609;;;;;
Demker;Straße, Bahnübergang;52.517102;11.854104;;;;;
Dessau Hbf;Haupteingang EG;51.8398364;12.2353735;;;;;
Dessau Hbf;Ausgang Westseite ;51.8398364;12.2353735;;;;;
Dessau Süd;Bahnsteig;51.802196;12.23645;;;;;
Dieskau;Hausbahnsteig;51.45032551;12.05219172;;;;;
Dreileben-Drackenstedt;Bahnsteig;52.14381556;11.34157129;;;;;
Eilsleben (Magdeburg);Tunnelzugang;52.150237;11.215214;;;;;
Elster (Elbe);Bahnsteig;51.83224218;12.82724284;;;;;
Fleetmark;Bahnsteig;52.79078537;11.37869943;;;;;
Geestgottberg;Bahnsteig;52.956329;11.73693;;;;;
Genthin;Hausbahnsteig Infoturm;52.403234;12.156539;;;;;
Gerwisch;Zugang zu den Bahnsteigen, vor Unterführung;52.17726909;11.74169317;;;;;
Gnadau;Bahnsteig;51.97958139;11.78115718;;;;;
Goldbeck (Osterburg);Zugang zum Bahnsteig 2;52.7169403;11.85838;;;;;
Gommern;Bahnsteig;52.07399177;11.83879919;;;;;
Gräfenhainichen;Bahnsteig;51.724732;12.46003;;;;;
Greppin;Bahnsteig;51.64535064;12.2979736;;;;;
Gröbers;Hausbahnsteig;51.43248341;12.11684234;;;;;
Großkorbetha;Bahnhofshalle;51.26726955;12.0227062;;;;;
Großkugel;Bahnsteig 1 + 2;51.41871423;12.16441367;;;;;
Güsen (b. Genthin);Hausbahnsteig;52.33489;11.977862;;;;;
Halberstadt;Halle am Treppenabsatz;51.8990849;11.0730923;;;;;
Halle(Saale)Hbf;Bahnsteig 1/2;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Bahnsteig 9/10;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Kuppelhalle rechte Nische;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Kuppelhalle linke Nische;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Ausgang Ernst-Kamieth-Straße;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Kuppelhalle gegenüber Reisezentrum;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Gleis10/11;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Gleis 12/13;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Bahnhofshalle E.-Kamieth-Str.;51.4772733;11.9875507;;;;;
Halle(Saale)Hbf;Interimsbahnsteig 13a;51.4772733;11.9875507;;;;;
Halle-Ammendorf;vor dem Treppenaufsteig;51.424415;11.987521;;;;;
Halle-Neustadt;im Tunnel Bahnsteig Richtung Halle (Saale) Hbf;51.48004781;11.92062099;;;;;
Halle-Nietleben;am Zugang zu den Bahnsteigen;51.487825;11.908451;;;;;
Halle Messe;Hausbahnsteig;51.45476;12.02804;;;;;
Halle Rosengarten;am Zugang zu den Bahnsteigen;51.446863;11.982787;;;;;
Halle-Silberhöhe;Bahnsteig;51.44551541;11.96680561;;;;;
Halle Steintorbrücke;Bahnhof;51.490366;11.9868931;;;;;
Halle Südstadt;Bahnsteig Richtung Halle (Saale) Hbf;51.4479293;11.95095107;;;;;
Halle-Trotha;Gleis 2;51.52389637;11.96218316;;;;;
Halle Zscherbener Straße;am Zugang Bahnsteig Richtung Halle (Saale) Hbf;51.473289;11.9209568;;;;;
Halle Zoo;Bahnhof ;51.5036686;11.970245;;;;;
Hohenthurm;Bahnsteig;51.51235363;12.09790561;;;;;
Hohenwulsch;Bahnsteig;52.66730088;11.59513928;;;;;
Jeber-Bergfrieden;Zugang Bahnsteig;51.98465879;12.34960478;;;;;
Jessen (Elster);Bahnsteig;51.792787;12.9547219;;;;;
Jeßnitz (Anh);Bahnsteig;51.68254351;12.27735948;;;;;
Königsborn;Bahnsteig;52.13408074;11.75630987;;;;;
Köthen;Tunnel zu den Bahnsteigen;51.75230569;11.98844466;;;;;
Kötzschau;Vorplatz;51.30445785;12.12391181;;;;;
Landsberg (b. Halle/Saale);Bahnsteig;51.5326454;12.1662687;;;;;
Leißling;Gleis 1;51.18547645;11.90981118;;;;;
Lutherstadt Eisleben;Gleis 1;51.5181915;11.55080857;;;;;
Lutherstadt Wittenberg;Personentunnel;51.86753754;12.6621113;;;;;
Lutherstadt Wittenberg Altstadt;Zugang zum Bahnsteig;51.86393264;12.64061138;;;;;
Lutherstadt Wittenberg-Piesteritz;Bahnsteig;51.8705269;12.6081533;;;;;
Magdeburg-Buckau;Bahnhofshalle;52.10909565;11.62995972;;;;;
Magdeburg-Eichenweiler;Bahnsteig;52.166452;11.657931;;;;;
Magdeburg Hasselbachplatz;Bahnsteig 1/2;52.1224394;11.6253564;;;;;
Magdeburg Hbf;Tunnel Bahnsteig 1;52.1306891;11.6268162;;;;;
Magdeburg Hbf;im Reisezentrum;52.1306891;11.6268162;;;;;
Magdeburg Hbf;Haupteingang in der Bahnhofshalle;52.1306891;11.6268162;;;;;
Magdeburg Hbf;Busbahnhof;52.1306891;11.6268162;;;;;
Magdeburg Hbf;Zugang Kölnerplatz;52.1306891;11.6268162;;;;;
Magdeburg Herrenkrug;Zugang zu den Bahnsteigen;52.145269;11.67701;;;;;
Magdeburg-Neustadt;Bahnhofshalle;52.1483095;11.6413393;;;;;
Magdeburg-Salbke;Hausbahnsteig;52.08071632;11.65643077;;;;;
Magdeburg SKET Park;Zugang zu den Bahnsteigen;52.097545;11.638277;;;;;
