Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
3126;Magdeburg;TMK;01.01.1881;14.05.2025;701;Gesamt_Messzeitraum;eor;                                                                                                                                   
3126;Magdeburg;TXK;01.01.1881;14.05.2025;731;Gesamt_Messzeitraum;eor;                                                                                                                                   
3126;Magdeburg;TNK;01.01.1881;14.05.2025;731;Gesamt_Messzeitraum;eor;                                                                                                                                   
3126;Magdeburg;TGK;01.01.1881;14.05.2025;729;Gesamt_Messzeitraum;eor;                                                                                                                                   
3126;Magdeburg;PM;01.01.1881;14.05.2025;712;Gesamt_Messzeitraum;eor;                                                                                                                                    
3126;Magdeburg;FM;01.01.1881;14.05.2025;31;Gesamt_Messzeitraum;eor;                                                                                                                                     
3126;Magdeburg;FX;01.01.1881;14.05.2025;1913;Gesamt_Messzeitraum;eor;                                                                                                                                   
3126;Magdeburg;UPM;01.01.1881;14.05.2025;4110;Gesamt_Messzeitraum;eor;                                                                                                                                  
3126;Magdeburg;VPM;01.01.1881;14.05.2025;5642;Gesamt_Messzeitraum;eor;                                                                                                                                  
3126;Magdeburg;NM;01.01.1881;14.05.2025;841;Gesamt_Messzeitraum;eor;                                                                                                                                    
3126;Magdeburg;SDK;01.01.1881;10.12.2024;2668;Gesamt_Messzeitraum;eor;                                                                                                                                  
3126;Magdeburg;RSK;01.01.1881;14.05.2025;715;Gesamt_Messzeitraum;eor;                                                                                                                                   
3126;Magdeburg;RSKF;01.01.1881;14.05.2025;749;Gesamt_Messzeitraum;eor;                                                                                                                                  
3126;Magdeburg;SHK_TAG;01.01.1881;14.05.2025;11571;Gesamt_Messzeitraum;eor;                                                                                                                             
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3126;Magdeburg;TMK;31.01.1933;01.02.1933;2;;eor;                                                                                                                                                        
3126;Magdeburg;TMK;01.02.1945;31.12.1946;699;Kriegsjahre;eor;                                                                                                                                           
3126;Magdeburg;TXK;31.01.1933;01.02.1933;2;;eor;                                                                                                                                                        
3126;Magdeburg;TXK;01.04.1940;30.04.1940;30;Kriegsjahre;eor;                                                                                                                                            
