Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3126;Magdeburg;MO_RR;01.05.1891;30.06.1891;2;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.06.1892;30.06.1892;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.07.1899;31.07.1899;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.05.1902;31.05.1902;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.02.1905;31.03.1905;2;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.02.1906;28.02.1906;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.02.1913;28.02.1913;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.11.1921;30.11.1921;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.05.1926;31.05.1926;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_RR;01.01.1945;31.01.1945;1;Kriegsjahre;eor;                                                                                                                                           
3126;Magdeburg;MO_RR;01.06.2017;30.06.2017;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.01.1883;31.01.1883;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.11.1887;31.12.1887;2;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.08.1894;30.09.1894;2;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.12.1894;31.12.1894;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.03.1895;31.03.1895;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.12.1895;31.12.1895;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.02.1896;29.02.1896;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.04.1897;30.04.1897;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.03.1898;31.03.1898;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.12.1901;31.12.1901;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.03.1902;31.03.1902;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.01.1907;31.01.1907;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.09.1924;30.09.1924;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.01.1933;28.02.1933;2;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.03.1943;31.03.1943;1;Kriegsjahre;eor;                                                                                                                                           
3126;Magdeburg;MO_FK;01.04.1944;30.04.1944;1;Kriegsjahre;eor;                                                                                                                                           
3126;Magdeburg;MO_FK;01.02.1945;31.12.1946;23;Kriegsjahre;eor;                                                                                                                                          
3126;Magdeburg;MO_FK;01.10.2003;31.10.2003;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.06.2017;30.06.2017;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.03.2019;31.03.2019;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.02.2021;28.02.2021;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_FK;01.10.2021;31.10.2021;1;;eor;                                                                                                                                                      
3126;Magdeburg;MO_TT;01.01.1933;28.02.1933;2;;eor;                                                                                                                                                      
