Abgabenart;Veranlagungsjahr;Beschreibung;Beschreibung1;Beschreibung2;Tarif;Mindestbetrag;Höchstbetrag;Währung;Satzung;vom;ab;bis
Beherbergungssteuer;2025;Steuersatz auf das Beherbergungsentgelt;;;5,00;;;Prozent;Beherbergungssteuersatzung;29.11.2024;01.04.2025;
Beherbergungssteuer;2026;Steuersatz auf das Beherbergungsentgelt;;;5,00;;;Prozent;Beherbergungssteuersatzung;29.11.2024;01.04.2025;
Gewerbesteuer;1991;Hebesatz;;;320,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;1992;Hebesatz;;;320,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;1993;Hebesatz;;;320,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;1994;Hebesatz;;;400,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;1995;Hebesatz;;;400,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;1996;Hebesatz;;;400,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;1997;Hebesatz;;;420,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;1998;Hebesatz;;;420,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;1999;Hebesatz;;;420,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2000;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2001;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2002;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2003;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2004;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2005;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2006;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2007;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2008;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2009;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2010;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2011;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2012;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2013;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2014;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2015;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2016;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2017;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2018;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2019;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2020;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2021;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2022;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2023;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2024;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2025;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Gewerbesteuer;2026;Hebesatz;;;450,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1991;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;200,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1992;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;200,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1993;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;200,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1994;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;200,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1995;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;200,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1996;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;200,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1997;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;200,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1998;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;200,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;1999;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;250,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;2000;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;250,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;2001;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;250,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;2002;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;250,00;;;Prozent;Haushaltssatzung;;;
Grundsteuer A;2003;Hebesatz;für Betriebe der Land- und Forstwirtschaft;;250,00;;;Prozent;Haushaltssatzung;;;
